Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
300.5,311.4,1679,27.5,59
300.5,311.4,1709,32.3,64
300.5,311.4,1445,41.5,66
300.5,311.4,1390,51.9,68
300.4,311.4,1309,55.5,71
300.5,311.5,1499,37.6,73
300.5,311.4,2072,18.8,75
300.5,311.5,1487,43,78
300.5,311.5,1302,49.6,80
300.5,311.5,1378,48.2,82
300.5,311.6,1365,53,85
300.6,311.7,1427,44.6,87
300.6,311.7,1535,33.3,92
300.5,311.6,1476,41.7,97
300.5,311.6,1425,42.4,102
300.5,311.7,1409,54.7,104
300.5,311.6,1730,30.2,106
300.5,311.6,1454,41.4,108
300.6,311.7,1744,26.9,111
300.8,311.9,1761,29,113
300.7,311.9,1657,30.9,116
300.7,311.8,1420,47,119
300.7,311.9,1329,59.2,121
300.6,311.9,1472,44.2,126
300.6,312,1566,30.1,128
300.6,312,1430,42.7,130
300.6,312,1481,40.9,132
300.6,312,1670,29.4,134
300.6,312,1406,55.1,136
300.6,312.1,1354,46.9,138
300.5,312,1985,19.3,143
300.5,312,1263,60.8,146
300.5,311.9,1576,31.1,149
300.5,312,1453,45.1,151
300.5,312,1478,39,153
300.5,311.9,1323,57.9,155
300.5,311.9,1710,28.4,158
300.4,311.7,1314,59.5,160
300.4,311.7,1460,39.6,162
300.4,311.7,1508,45.4,164
300.5,311.8,1331,55.3,167
300.4,311.7,1515,47.4,170
300.4,311.6,1674,33,172
300.4,311.7,1444,51.2,174
300.4,311.7,1398,42.6,176
300.4,311.7,1832,24.2,179
300.5,311.8,1591,42,182
300.4,311.7,1478,39.9,185
300.4,311.8,1362,47.6,188
300.5,311.8,1368,57.9,191
300.3,311.7,1723,28.3,193
300.4,311.8,1689,30.8,196
300.4,311.8,1272,59.2,198
300.4,311.7,1511,33,200
300.4,311.6,1715,30.8,203
300.3,311.5,1400,43.8,0
300.4,311.6,1200,76.6,3
300.4,311.7,1555,38.7,5
300.3,311.6,1427,56.2,8
300.3,311.4,1318,52.7,13
300.2,311.4,1319,54.6,15
300.2,311.4,1960,20.9,20
300.3,311.5,1552,38.9,23
300.3,311.5,1548,32.2,25
300.3,311.6,1709,29.5,27
300.3,311.5,1464,41,29
300.3,311.4,1759,24.8,34
300.3,311.5,1634,31.9,36
300.3,311.5,1663,33.6,38
300.3,311.5,1445,47.3,40
300.3,311.5,1695,25.6,43
300.4,311.6,1517,39,45
300.5,311.7,1811,26.8,47
300.4,311.6,1815,23.5,49
300.4,311.7,1513,40,51
300.4,311.6,1518,36.4,53
300.3,311.5,1667,28.8,56
300.3,311.5,1403,60.1,58
300.2,311.5,1383,42.1,60
300.3,311.5,1466,46.2,62
300.3,311.5,1378,47.5,64
300.2,311.5,1547,40.9,66
300.2,311.5,1495,38.5,69
300.1,311.4,1729,29.3,71
300.1,311.4,1418,47.7,73
300.1,311.4,1485,40.4,75
300.1,311.5,1434,40.8,80
300.2,311.6,1415,55.8,82
300.1,311.6,1674,29.6,85
300.1,311.5,1454,52.4,90
300,311.4,1476,39,92
300,311.5,1812,28.3,94
300,311.4,1374,41.9,96
300.1,311.4,1524,40.6,98
300,311.4,1383,49.6,101
299.9,311.3,1429,58.2,103
299.8,311.3,1517,41.2,105
299.9,311.4,1480,44.9,108
299.9,311.4,1706,28.8,111
300,311.5,1349,48.6,113
300,311.5,1451,49,115
299.9,311.4,1627,36.7,118
300,311.4,1537,35.4,120
300.1,311.5,2218,17,123
300,311.4,1466,39,125
300,311.5,1666,32,128
300,311.5,1455,41.7,130
300,311.4,1927,24.6,132
299.9,311.3,1703,28.4,134
299.8,311.2,1533,35.9,137
299.8,311.3,1785,25.4,139
299.8,311.2,2142,16.6,144
299.8,311.2,1369,46.2,146
299.8,311.2,1706,29.2,148
299.9,311.3,1802,24.4,151
299.9,311.3,1413,41.8,153
300,311.3,1484,53.2,158
299.9,311.3,1535,38.1,160
299.9,311.2,1579,35.5,162
299.8,311.1,1300,64.2,165
299.8,311.1,1452,44.3,167
299.8,311.1,1562,35.7,170
299.8,311.2,1664,28.3,173
299.9,311.2,1495,35.8,175
300,311.4,1533,42.6,180
300,311.4,1484,37,183
300,311.4,1604,38.7,185
300,311.4,1483,45.6,187
300.1,311.5,1549,34.7,189
300.1,311.4,1604,35,191
300.2,311.5,1685,31,193
300.2,311.6,1372,49.2,195
300.3,311.6,1374,47.4,197
300.2,311.6,1606,31,199
300.1,311.5,1471,47.2,201
300.1,311.5,1659,31.1,203
300.1,311.7,1400,48.5,205
300.1,311.7,1503,42.6,208
300.2,311.8,1798,23.2,210
300.2,311.6,1608,35,212
300.2,311.6,1322,50.9,215
300.2,311.6,1547,37.7,217
300.3,311.7,1374,47.9,222
300.3,311.7,1447,36.8,0
300.4,311.7,1373,47.2,3
300.3,311.7,1515,37.5,5
300.3,311.7,1317,56.5,7
300.3,311.8,1551,37.2,9
300.3,311.8,1592,32.1,11
300.4,311.8,1433,42.2,14
300.5,311.9,1432,43.1,16
300.5,311.9,1350,51.7,18
300.5,311.9,1370,44.8,20
300.5,312,1415,44.6,23
300.5,312,1498,42.9,25
300.5,312,1382,54.1,27
300.5,311.9,1511,44.5,30
300.5,311.9,1330,59.5,33
300.5,311.9,1383,50.5,35
300.5,311.9,1431,49.4,37
300.5,312,1461,38.1,39
300.4,311.9,1438,46.7,41
300.5,312,1779,27.7,46
300.6,312.1,1293,52.3,49
300.6,312.2,1308,54.7,52
300.6,312.3,1532,37.2,54
300.7,312.4,1470,38.6,56
300.7,312.3,1548,37.9,58
300.7,312.3,1898,24,60
300.7,312.2,1335,49,62
300.7,312.3,1420,53.8,67
300.7,312.3,1418,49,69
300.8,312.3,1535,40.3,71
300.7,312.4,1457,47.2,74
300.8,312.4,1493,39.1,79
300.7,312.3,1670,27.3,81
300.7,312.3,1446,45.4,86
300.8,312.4,1465,59.1,91
300.7,312.3,1590,36.3,93
300.6,312.2,2174,18.5,95
300.7,312.4,1590,37.9,98
300.7,312.3,1577,33.2,100
300.7,312.4,1371,61.7,102
300.8,312.4,1767,25.6,105
300.8,312.5,1517,39.2,107
300.9,312.6,1555,40.6,109
300.9,312.7,1416,43.8,112
300.8,312.6,1588,35.6,114
300.8,312.6,1422,50,117
300.8,312.6,1376,53.6,119
300.8,312.5,1434,50.7,121
300.8,312.5,1423,47.3,123
300.9,312.4,1364,52.5,125
300.8,312.4,1825,23.8,127
300.8,312.4,1365,44.5,129
300.7,312.3,1430,47.2,131
300.8,312.3,1435,44.8,134
300.8,312.4,1811,25.1,136
300.8,312.4,1465,43.7,139
300.9,312.4,1372,51,142
300.8,312.3,1858,26.3,144
300.7,312.3,1715,26.8,146
300.7,312.2,1590,38.5,148
300.8,312.2,1664,25.7,150
300.7,312.1,1512,36.9,153
300.7,312.1,1498,44,155
300.7,312.1,1395,41.9,157
300.7,312.1,1490,43.1,159
300.8,312.1,1527,35.1,164
300.8,312.1,1512,37.1,169
300.9,312.1,1474,42.4,171
300.8,312.1,1505,41.3,173
300.8,312,1496,40,175
300.8,312,1382,49.3,177
300.7,311.9,1419,47.7,179
300.7,311.9,1462,39.7,181
300.8,312,1450,45,183
300.7,311.9,1389,46.5,186
300.7,311.9,1697,28.2,191
300.7,311.9,1335,57.1,194
300.7,311.9,1476,42,196
300.6,311.7,1497,43.6,198
300.6,311.6,1669,29.2,200
300.6,311.6,1455,48,203
300.7,311.7,1499,38.4,205
300.7,311.8,1478,41.9,207
300.8,311.8,1928,21.8,209
300.8,311.9,1621,28.3,211
300.8,311.9,1356,44.3,214
300.8,311.7,1490,46.4,217
300.8,311.7,1578,31.4,219
300.8,311.7,1681,31.3,221
300.8,311.8,1417,43.4,223
300.7,311.7,1532,40,0
300.7,311.7,1499,38.9,3
300.8,311.7,1432,45.8,6
300.8,311.7,1753,29,8
300.8,311.7,1414,49,10
300.8,311.7,1655,32.2,12
300.8,311.6,1516,35.6,14
300.8,311.7,1426,45.5,16
300.8,311.7,1479,39.4,18
300.7,311.5,1569,36.4,20
300.8,311.6,1568,36,23
300.9,311.8,1843,24.5,25
300.9,311.9,1480,40.9,28
301,312,1447,36.8,31
301,311.9,1454,41.9,33
300.9,311.9,1310,56.1,35
300.9,311.9,1513,38,38
300.9,311.9,2140,16.5,43
301,312.1,1377,49.9,48
301,312.1,1585,32.3,50
301.1,312.2,1491,42.6,52
301,312.2,1264,59,57
301,312.2,1372,47,59
301,312.2,1510,39.9,61
300.9,312.1,1423,40.2,63
301.1,312.3,1464,35.3,65
301,312.2,1602,35.9,67
301,312.2,1629,32.6,69
300.9,312.2,1811,23.2,72
300.9,312.1,1711,28.8,74
300.9,312.1,1297,48.6,76
301,312.1,1405,46.1,79
301.1,312.2,1397,54.9,81
301.1,312.3,1682,29.7,83
301.2,312.3,1528,38.4,85
301.2,312.3,1548,38.3,87
301.2,312.4,1395,47.8,90
301.2,312.4,1378,59,95
301.2,312.4,1480,53.5,97
301.2,312.4,1428,36.6,99
301.2,312.4,1505,39.6,102
301,312.3,1445,36.4,105
301,312.3,1488,42.6,107
301,312.2,1601,33,109
301,312.3,1550,34.9,111
301,312.2,1540,34.1,113
301.1,312.3,1587,34.5,115
301,312.2,1489,40.3,117
301.1,312.3,1486,34.9,122
301.1,312.4,1430,37.9,124
301.1,312.4,1809,25.1,126
301.1,312.3,1534,39,129
301.1,312.3,1852,25.9,131
301.1,312.3,1595,31.9,134
301,312.3,1424,43.5,136
301,312.2,1776,28.8,138
301,312.2,1499,41.5,140
301,312.2,2710,9.7,143
300.9,312.1,1359,51.7,146
300.9,312.1,1617,31,148
300.8,312,1443,53.3,151
300.8,312,1374,50.2,154
300.9,312.1,1851,23,156
300.8,312,1274,67.3,159
300.9,312,1533,44,162
300.8,312,1477,37.3,164
300.9,312.1,1462,46,166
301,312.1,1664,28.4,168
300.8,311.9,1414,41.1,171
300.9,312,2129,17.8,173
300.8,311.8,1323,61.1,178
300.8,311.8,1427,43.3,180
300.9,312,1375,56.1,182
300.9,312,1402,50.7,185
300.9,312,1500,44.2,188
301,312,1558,37.5,190
300.9,312,1447,41.4,193
301,312,1518,39.3,196
301,311.9,1889,23.5,198
301,312.1,1675,30.7,200
300.9,312,1720,27.9,202
301,312,1499,34.6,207
300.9,312,1441,43.8,210
300.9,312,1397,42.7,212
300.9,312,1493,38.7,217
300.8,312,1422,50.7,219
300.7,311.9,1399,50.2,222
300.6,311.9,1425,44.9,224
300.6,311.8,1501,44.8,226
300.6,311.9,1629,35.3,0
300.6,312,1490,42.2,3
300.7,312,1550,32.4,5
300.8,312,1416,46.5,7
300.7,311.9,1485,38.8,9
300.7,311.8,1564,36.8,11
300.7,311.7,1910,19.7,13
300.7,311.7,1460,46.1,15
300.7,311.8,1603,34.1,17
300.7,311.8,1486,47.3,19
300.8,311.9,1560,31.8,21
300.8,311.9,1498,39.3,23
300.8,311.9,1431,48.5,25
300.8,311.9,1486,45.1,30
300.7,311.9,1486,35.8,32
300.7,311.8,1441,38.1,34
300.7,311.9,1366,55.1,36
300.6,311.8,1471,41.4,39
300.6,311.9,1463,38.2,41
300.6,311.9,1413,41.3,43
300.6,311.9,1604,30.5,45
300.7,312,1401,51.1,50
300.6,311.8,1652,27.2,52
300.5,311.9,1403,45.7,54
300.5,311.9,1887,21.7,56
300.4,311.8,1405,47.9,58
300.2,311.6,1496,41.1,60
300.1,311.5,1499,43.4,65
300.2,311.5,1549,37.2,67
300.3,311.6,1515,44.9,69
300.2,311.6,1540,37.7,71
300.2,311.5,1426,44.3,73
300.2,311.6,1465,41.4,78
300.3,311.6,1359,54.1,81
300.3,311.7,1551,36.4,84
300.5,311.8,1596,34.8,87
300.5,311.9,1670,26.3,89
300.4,311.9,1868,21.3,92
300.6,312,1490,39.8,94
300.5,311.9,1676,35.2,97
300.5,311.9,1875,22.1,100
300.5,312,1867,23,103
300.5,312,1646,29.5,106
300.5,312,1375,43.2,108
300.5,312,1558,36.7,113
300.4,312,1631,34.9,115
300.4,312,1366,43,117
300.3,311.8,1360,48,119
300.3,311.8,1547,39.7,121
300.3,311.7,1571,31.2,123
300.2,311.5,1528,36.1,125
300.2,311.5,1432,43.6,127
300.2,311.6,1356,53.5,132
300.1,311.5,1422,46.2,134
300.1,311.4,1438,42.2,139
300.2,311.4,1483,44.4,141
300.2,311.4,1331,49.8,143
300.2,311.4,1463,37.5,145
300.1,311.4,1446,40.6,147
300.1,311.4,1356,45.7,149
300.1,311.3,1676,30.3,151
300.1,311.4,1910,23,153
300.2,311.6,1375,56.9,155
300.2,311.6,1513,40.8,157
300.2,311.6,1511,35.7,160
300.2,311.6,1662,28.8,162
300.2,311.7,1493,48.3,167
300.2,311.7,1555,37.4,169
300.3,311.7,1452,41.5,172
300.2,311.6,1500,39,174
300.2,311.7,1603,30.5,176
300.3,311.7,1682,27.8,178
300.3,311.8,1567,37.7,180
300.3,311.8,1413,46,182
300.3,311.9,1429,41.6,184
300.3,311.9,1692,31.5,187
300.4,311.9,1476,48.7,189
300.4,312,1596,30.4,191
300.3,311.9,1390,49,194
300.3,311.8,1607,33.7,199
300.3,311.7,1821,26.3,202
300.3,311.8,2141,18.5,204
300.4,311.8,1553,33.1,209
300.4,311.8,1442,45.1,0
300.4,311.7,1459,45.6,3
300.4,311.8,2496,13.5,5
300.4,311.8,1367,57.2,10
300.3,311.8,2004,19.6,12
300.3,311.7,1406,47.5,14
300.3,311.8,1548,33,16
300.3,311.7,1333,55.2,18
300.2,311.6,1767,26.4,20
300.2,311.6,1827,27,22
300.2,311.6,1533,46.4,24
300.2,311.5,1515,36.8,27
300.2,311.4,1568,41,32
300.2,311.4,1452,47.8,34
300.2,311.4,1433,37.9,36
300.1,311.3,1650,33.8,38
300.1,311.4,1629,31.3,41
300,311.3,1520,39.2,43
300,311.2,1393,43.1,45
299.9,311.2,1364,49.6,50
299.9,311.3,1389,50,55
299.8,311.1,1466,46.1,58
299.7,311.1,1650,32.4,60
299.6,311,1554,36.3,62
299.6,310.9,1474,39.7,64
299.5,310.8,1600,32.4,67
299.5,310.8,1356,54.9,72
299.5,310.8,1571,38.2,74
299.6,310.9,1658,28,76
299.6,310.8,1393,49.9,78
299.7,311,1448,49.8,80
299.7,310.9,1477,40.4,83
299.7,311,1506,42.7,85
299.7,310.9,1685,32.1,88
299.6,310.9,1533,31.8,91
299.5,310.8,1447,41,93
299.5,310.7,1488,39.5,95
299.6,310.8,1427,50.4,98
299.5,310.7,1424,41.3,101
299.5,310.7,1472,40.9,104
299.5,310.7,1438,45.7,106
299.6,310.8,1507,42.4,108
299.6,310.7,1393,52.1,110
299.5,310.8,1283,52.4,112
299.6,310.8,1644,30.9,114
299.6,310.8,1498,46.9,116
299.6,310.8,1400,40.8,118
299.6,310.9,1679,31.2,120
299.7,311.1,1618,30.3,125
299.6,311,1714,30.2,128
299.6,311,1574,35,133
299.7,311.1,1574,36.4,135
299.6,310.9,1472,40.9,137
299.6,311,1552,33.2,139
299.7,311.1,1603,31.4,141
299.7,311.1,1353,47.1,143
299.7,311.1,1690,30.6,148
299.8,311.2,1745,26.3,150
299.9,311.3,1522,45.7,153
300,311.4,1641,34.5,155
299.9,311.4,1596,28.9,160
299.9,311.4,1497,37,162
299.9,311.3,1371,52.3,167
299.9,311.3,1445,41.2,169
299.8,311.2,1564,40,172
299.7,311.1,1439,44.9,174
299.7,311.2,1352,52.1,176
299.8,311.3,1560,35.4,178
299.7,311.2,1616,42.3,180
299.7,311.2,1835,23.7,183
299.7,311.1,1649,32.7,185
299.8,311.1,1452,47.3,188
299.8,311.1,2144,17.7,190
299.7,311.1,1554,41,192
299.7,311,1827,25.4,194
299.6,310.9,1448,46.3,196
299.6,310.9,1530,38.8,198
299.7,311,1983,21,201
299.7,310.9,1620,37.2,203
299.6,310.9,1630,29.8,206
299.6,310.9,1229,65.2,209
299.5,310.8,1873,22.3,211
299.4,310.7,1426,45.7,213
299.4,310.8,1376,53.9,215
299.4,310.8,1622,33.6,217
299.4,310.7,1492,45.7,219
299.3,310.7,1374,48.9,222
299.2,310.7,1737,27,225
299.3,310.8,1426,42.4,0
299.3,310.9,1826,25.1,2
299.3,310.9,1669,32.4,5
299.4,310.9,1473,40.1,7
299.4,310.9,1751,27.8,10
299.4,310.9,1446,47.3,12
299.3,310.8,1483,43.5,15
299.2,310.7,1535,42.6,17
299.2,310.7,1477,44,19
299.3,310.8,1391,46.9,21
299.2,310.7,1636,29.4,23
299.2,310.6,1675,33.3,28
299.2,310.5,1329,48.9,30
299.2,310.5,1548,33.5,35
299.2,310.5,1391,45.8,38
299.1,310.5,1437,43.1,40
299.2,310.6,1370,61.9,42
299.1,310.6,1577,37.1,44
299.1,310.5,1485,37.8,46
299,310.4,1504,34.3,48
298.9,310.3,1551,35.2,50
299.1,310.5,1428,43,53
299,310.5,1755,27.9,56
299.1,310.5,1329,54.9,58
299.1,310.5,1496,35.2,60
299.1,310.5,1532,36.6,62
299.1,310.5,1389,61.4,64
299.1,310.4,1524,51.4,66
299.1,310.4,1422,49.3,69
299.1,310.5,1739,27.4,72
299.1,310.5,1736,26.9,74
299.1,310.5,1419,48.8,76
299.1,310.6,1326,49.7,78
299.1,310.6,1449,43.2,80
299.2,310.6,1534,39.7,83
299.2,310.6,1443,50.9,85
299.2,310.6,1498,41.1,88
299.1,310.6,1796,26,90
299.1,310.4,1519,45.3,92
299,310.4,1339,49.6,94
299,310.4,1483,41.5,96
298.9,310.2,2099,20,98
299,310.3,1689,29.7,101
299.1,310.4,1369,54.5,104
299,310.4,1512,38.8,109
299,310.3,1303,68.6,111
299,310.3,1552,39.9,114
299,310.4,1713,28,116
298.9,310.3,1456,44.1,118
299,310.4,1524,39.8,120
299,310.4,1394,45.2,122
299,310.4,1981,21.2,125
299,310.4,1565,36.1,127
299.1,310.4,1657,31,129
299,310.4,1625,37.1,131
299,310.4,1606,31.1,134
299,310.5,1336,56.8,136
299,310.6,1587,34.2,141
299.1,310.6,1602,39.7,144
299.1,310.5,1471,38.4,146
299.1,310.6,1332,48,148
299.2,310.6,1434,48.4,153
299.1,310.6,1921,23.9,158
299.2,310.6,1704,30.6,160
299.1,310.6,1397,49.5,165
299.1,310.6,1791,28,168
299.1,310.6,1818,24.1,173
299.2,310.7,1540,36.3,175
299.2,310.8,1502,39.8,177
299.2,310.8,1761,30.4,180
299.1,310.8,1517,38.4,185
299.1,310.7,1309,51.1,188
298.9,310.6,1363,52.6,190
299,310.6,1787,22.2,192
298.9,310.5,1640,29.2,195
298.9,310.6,1720,25.3,197
298.8,310.5,1384,52.8,200
298.8,310.5,1294,55.8,202
298.8,310.5,1464,46.4,207
298.8,310.6,1803,25.4,209
298.8,310.6,1602,39.1,211
298.9,310.6,1519,38.8,213
298.9,310.7,1638,33.6,218
298.9,310.6,1615,33,221
298.8,310.6,1651,33.3,0
298.9,310.6,1387,52.7,2
298.8,310.5,1678,32.8,4
298.9,310.6,1585,38.1,7
298.8,310.6,1640,33.8,9
298.9,310.6,1406,43.8,12
298.9,310.6,1679,35.8,14
298.9,310.5,1717,26.9,17
298.9,310.5,1429,39.9,19
298.9,310.4,1533,44.4,24
298.9,310.5,1525,38.5,27
298.9,310.4,1739,26.3,30
298.9,310.3,1436,39,32
298.8,310.2,1595,33.1,34
298.7,310.1,1435,45.6,37
298.7,310,1637,31.8,42
298.7,310.1,1558,37.6,44
298.7,310.1,1644,34.1,46
298.7,310.1,1641,31.1,49
298.8,310.2,1504,41,51
298.7,310.1,1506,50.7,53
298.8,310.1,1380,44,56
298.7,310.1,1549,42.5,61
298.7,310.1,1402,69.7,64
298.7,310.1,1401,45.3,67
298.7,310,1459,40.2,69
298.7,309.9,1465,39.7,72
298.8,310,1295,52.7,74
298.8,310,1529,38.5,77
298.8,310,1484,44.9,80
298.8,309.9,1739,30.6,83
298.7,309.8,1422,40.7,85
298.8,309.8,1463,40,90
298.7,309.7,1667,30.4,92
298.7,309.7,1565,39.3,94
298.7,309.7,1393,45.7,99
298.8,309.7,1453,47.7,101
298.8,309.6,1442,50,104
298.7,309.6,1364,44.9,106
298.7,309.5,1453,40.4,108
298.7,309.5,1394,46,113
298.7,309.5,1500,38.8,116
298.6,309.5,1523,34.2,119
298.7,309.6,1254,57.1,124
298.6,309.5,1325,52.2,127
298.8,309.7,1424,49.6,129
298.8,309.7,1505,39,131
298.8,309.7,1392,48.7,133
298.8,309.7,1529,44,136
298.8,309.7,1477,48.5,138
298.8,309.7,1459,47.3,141
299,309.8,2240,15.9,144
298.9,309.7,1449,48.8,147
298.8,309.7,1589,35.3,149
298.8,309.7,1740,28.5,152
298.8,309.7,1499,40.3,154
298.8,309.7,1480,38.1,157
298.8,309.7,1751,29.6,160
298.7,309.7,1510,40.6,162
298.8,309.8,1437,48.2,164
298.8,309.7,1609,40.4,169
298.8,309.8,1490,35.9,171
298.7,309.7,1601,35.7,176
298.7,309.6,1665,31.1,178
298.7,309.6,1452,42.7,180
298.7,309.5,1487,33.6,183
298.7,309.6,1382,48.1,186
298.7,309.6,1686,26.2,189
298.6,309.6,1491,36.9,192
298.7,309.6,1442,55.6,194
298.6,309.6,1390,50.3,196
298.7,309.6,1502,46.7,198
298.6,309.6,1344,59.4,200
298.5,309.5,1385,46.3,203
298.7,309.7,1547,37.4,0
298.6,309.6,1525,42.4,2
298.6,309.6,1540,35.8,5
298.6,309.5,1450,44.3,7
298.6,309.6,1353,62.5,9
298.8,309.7,1582,45,11
298.9,309.8,1396,49,13
298.8,309.8,1551,36.6,15
298.9,309.8,1836,22.8,18
298.9,309.8,1390,49.9,21
298.9,309.8,1534,42.1,23
298.8,309.7,1953,20.6,25
298.8,309.8,1634,33.6,27
298.7,309.7,1881,21.7,29
298.8,309.7,1448,44.8,31
298.7,309.7,1362,50.5,34
298.8,309.7,1225,63.4,37
298.8,309.6,1384,48.2,39
298.8,309.8,1334,49.3,42
298.8,309.7,1336,50.3,44
298.8,309.9,1331,61.6,46
298.8,309.9,1629,31.9,49
298.9,310,1776,25.7,51
298.8,310,1530,38.3,53
298.9,310,1719,27.3,58
298.8,309.9,1495,35.2,60
298.8,309.7,1450,43.1,63
298.8,309.8,1563,38.8,65
298.9,309.9,1501,37.1,70
298.8,309.9,1351,47.2,73
298.9,309.9,1365,46.5,75
298.8,309.9,1525,39.7,77
298.8,309.8,1288,61.9,79
298.6,309.6,1423,42.7,82
298.5,309.6,1502,39.4,84
298.5,309.5,1428,43.5,87
298.6,309.5,1566,38.1,89
298.5,309.5,1483,44.8,92
298.6,309.6,1593,33.3,95
298.5,309.6,1724,26.4,100
298.5,309.7,2617,12.1,102
298.6,309.7,1294,59.4,104
298.6,309.6,1533,40.7,106
298.5,309.4,1671,31.8,108
298.5,309.5,1370,52.4,113
298.5,309.6,1462,45.1,115
298.4,309.5,1545,36.6,117
298.4,309.5,1484,41.7,119
298.4,309.5,1344,45.3,122
298.4,309.5,1357,50.1,125
298.5,309.6,1572,33,127
298.5,309.6,1861,26.9,130
298.5,309.5,1548,44.5,132
298.6,309.8,1496,37.7,134
298.6,309.7,1314,49.7,136
298.6,309.7,1422,49.7,139
298.6,309.8,1842,20.1,142
298.7,309.9,1434,53,144
298.8,310.1,1585,31.3,147
298.8,310.1,1704,30.7,150
298.9,310.2,1971,23.2,155
299,310.3,1431,39.9,157
298.9,310.4,1546,37.7,159
298.9,310.3,1496,36.3,161
298.9,310.3,1243,63,163
299,310.4,1452,46.2,168
299.1,310.6,1380,44.7,170
299.2,310.6,1567,38.4,172
299.1,310.5,1628,35.9,174
299.1,310.4,1505,46.1,176
299,310.3,1827,28,178
299,310.3,1577,40,181
298.9,310.2,1304,57.2,183
298.9,310.1,1324,54.6,185
298.8,310,1537,39.9,190
298.8,310.1,1501,48.7,192
298.7,309.9,1654,29.1,195
298.7,310,1519,38.1,198
298.7,309.9,1371,51.3,201
298.7,309.8,1181,65.9,203
298.6,309.8,1469,42.8,205
298.6,309.8,1637,34.6,207
298.6,309.8,1370,56,0
298.6,309.9,1630,30.6,2
298.6,310,1517,39,4
298.6,309.9,1668,32.3,6
298.6,309.9,1818,24.9,9
298.6,310,1541,36.9,12
298.5,309.9,1482,42.1,15
298.6,310.1,1439,49.9,17
298.5,310,1492,41.2,19
298.4,309.9,1725,27.8,21
298.4,310,1559,44.2,23
298.5,310,1435,42.5,25
298.6,310,1512,37.5,27
298.6,309.9,1564,37.1,30
298.6,310,1522,40.3,32
298.6,309.9,1356,59.5,34
298.6,309.9,1556,38.6,36
298.6,309.9,1393,45.5,38
298.7,309.9,1753,26.8,40
298.7,309.9,1651,29.5,42
298.7,309.9,1372,54.7,44
298.7,309.9,1446,43.3,46
298.7,309.8,1501,44.7,48
298.7,309.9,1411,45.1,51
298.6,309.7,1672,27.5,54
298.7,309.8,1475,40.5,59
298.7,309.8,1469,38.4,62
298.6,309.8,1704,28.3,64
298.6,309.7,1463,39.1,66
298.6,309.7,1280,64.1,71
298.7,309.9,1464,38,74
298.6,309.8,1332,46.4,76
298.5,309.7,1634,37.8,78
298.6,309.8,1430,43.1,80
298.5,309.7,1523,44.6,83
298.5,309.7,1557,37.7,86
298.5,309.6,1585,32.2,89
298.5,309.6,1579,33.5,91
298.5,309.7,1354,60.8,96
298.6,309.7,1627,33.4,99
298.4,309.6,1477,35.6,101
298.3,309.4,1595,29,103
298.4,309.5,1520,38.1,106
298.3,309.4,1618,31.5,108
298.4,309.5,1397,50.3,110
298.4,309.5,1450,47.9,112
298.5,309.5,1501,40.2,114
298.4,309.4,1392,50.1,117
298.4,309.4,1385,43.2,119
298.4,309.4,1461,46.3,121
298.5,309.6,1364,58.7,123
298.5,309.5,1579,38.6,126
298.4,309.5,1514,38.8,128
298.3,309.5,1560,36.9,131
298.3,309.5,1542,36.7,134
298.3,309.4,1668,27.1,136
298.3,309.4,1816,22.6,138
298.3,309.4,1509,34.2,141
298.4,309.6,1479,37.8,144
298.4,309.6,1655,30.2,146
298.3,309.5,1711,30.3,148
298.4,309.7,1581,34.6,150
298.6,309.8,1279,55.9,152
298.5,309.8,1468,40.9,157
298.4,309.7,1419,41.3,159
298.4,309.7,1530,38.6,161
298.4,309.6,1710,27.3,163
298.4,309.7,1518,39.8,165
298.4,309.7,1679,33.3,167
298.4,309.7,1870,22.5,170
298.3,309.7,1484,44.3,173
298.4,309.7,1457,44.2,175
298.3,309.6,1546,36.2,177
298.2,309.5,1478,36.5,182
298.2,309.4,1447,47.1,185
298.2,309.4,1443,45.4,187
298.3,309.6,1527,30.9,189
298.3,309.6,1469,54.8,191
298.3,309.6,1681,27.1,194
298.3,309.6,1420,44.1,197
298.3,309.5,1543,49.9,199
298.4,309.5,1376,50.4,202
298.3,309.4,1631,29.8,0
298.3,309.3,1529,41.7,5
298.3,309.4,1468,46.2,10
298.3,309.4,1378,52.3,12
298.3,309.3,1401,51.9,14
298.4,309.3,1531,37.4,16
298.4,309.3,1512,35.8,18
298.5,309.4,1522,47.4,20
298.5,309.3,1615,31.8,23
298.6,309.3,1449,46.5,26
298.6,309.4,1315,55.5,28
298.6,309.4,1465,41.1,30
298.6,309.5,1404,43.3,33
298.6,309.5,1547,44.8,36
298.6,309.5,1426,45.4,38
298.6,309.5,1730,30.2,41
298.5,309.4,1548,37.7,43
298.5,309.4,1517,40.2,45
298.6,309.5,1687,29.3,47
298.5,309.5,1738,25.2,49
298.4,309.4,1512,35.3,51
298.5,309.4,1365,48.7,56
298.5,309.4,2011,21,59
298.4,309.3,1806,27.6,64
298.4,309.3,1716,28.4,66
298.4,309.4,1666,24.3,68
298.5,309.4,1578,36.3,71
298.3,309.3,1558,37.2,73
298.3,309.2,1456,45.5,75
298.2,309.1,1457,49,77
298.2,309.1,1467,44.5,80
298.1,309,1661,38.2,82
298.1,309,1592,33.9,85
